meter_id	timestamp	kwh	temp_c
M2022	2024-01-09 5:00	10.8873	-3.7
M2022	2024-01-09 6:00	10.7924	-4.4
M2022	2024-01-09 7:00	13.3669	-4.8
M2022	2024-01-09 8:00	13.0968	-5.1
M2022	2024-01-09 9:00	13.7776	-5.2
M2022	2024-01-09 10:00	12.6712	-5.1
M2022	2024-01-09 11:00	11.941	-4.8
M2022	2024-01-09 12:00	12.9095	-4.4
M2022	2024-01-09 13:00	12.3087	-3.7
M2022	2024-01-09 14:00	11.8176	-3
M2022	2024-01-09 15:00	11.787	-2.2
M2022	2024-01-09 16:00	12.0617	-1.5
M2022	2024-01-09 17:00	10.985	-0.7
M2022	2024-01-09 18:00	11.5447	-0.1
M2022	2024-01-09 19:00	11.4912	0.4
M2022	2024-01-09 20:00	11.3807	0.7
M2022	2024-01-09 21:00	10.1404	0.8
M2022	2024-01-09 22:00	9.0666	0.7
M2022	2024-01-09 23:00	8.6187	0.4
M2022	2024-01-10 0:00	9.1449	-5.8
M2022	2024-01-10 1:00	9.0711	-6.4
M2022	2024-01-10 2:00	8.4609	-7.1
M2022	2024-01-10 3:00	10.419	-7.9
M2022	2024-01-10 4:00	9.5999	-8.7
M2022	2024-01-10 5:00	10.2599	-9.4
M2022	2024-01-10 6:00	13.4715	-10
M2022	2024-01-10 7:00	12.7713	-10.5
M2022	2024-01-10 8:00	13.9051	-10.8
M2022	2024-01-10 9:00	15.2662	-10.9
M2022	2024-01-10 10:00	13.9554	-10.8
M2022	2024-01-10 11:00	13.4546	-10.5
M2022	2024-01-10 12:00	15.6813	-10
M2022	2024-01-10 13:00	15.9623	-9.4
M2022	2024-01-10 14:00	14.3798	-8.7
M2022	2024-01-10 15:00	12.8552	-7.9
M2022	2024-01-10 16:00	12.3925	-7.1
M2022	2024-01-10 17:00	11.463	-6.4
M2022	2024-01-10 18:00	12.3902	-5.8
M2022	2024-01-10 19:00	10.3154	-5.3
M2022	2024-01-10 20:00	9.5824	-5
M2022	2024-01-10 21:00	10.4943	-4.9
M2022	2024-01-10 22:00	8.8946	-5
M2022	2024-01-10 23:00	9.4269	-5.3
M2022	2024-01-11 0:00	8.6698	1.8
M2022	2024-01-11 1:00	8.9783	1.1
M2022	2024-01-11 2:00	7.358	0.4
M2022	2024-01-11 3:00	9.1546	-0.4
M2022	2024-01-11 4:00	9.502	-1.1
M2022	2024-01-11 5:00	9.5986	-1.9
M2022	2024-01-11 6:00	10.9437	-2.5
M2022	2024-01-11 7:00	12.3997	-3
M2022	2024-01-11 8:00	11.6164	-3.3
M2022	2024-01-11 9:00	12.2903	-3.4
M2022	2024-01-11 10:00	13.5926	-3.3
M2022	2024-01-11 11:00	14.142	-3
M2022	2024-01-11 12:00	12.5781	-2.5
M2022	2024-01-11 13:00	12.5002	-1.9
M2022	2024-01-11 14:00	13.5021	-1.1
M2022	2024-01-11 15:00	11.0957	-0.4
M2022	2024-01-11 16:00	12.5156	0.4
M2022	2024-01-11 17:00	10.9381	1.1
M2022	2024-01-11 18:00	9.716	1.8
M2022	2024-01-11 19:00	8.868	2.2
M2022	2024-01-11 20:00	8.5818	2.5
M2022	2024-01-11 21:00	9.2245	2.6
M2022	2024-01-11 22:00	8.897	2.5
M2022	2024-01-11 23:00	8.277	2.2
M2022	2024-01-12 0:00	10.3607	-1.9
M2022	2024-01-12 1:00	8.7729	-2.5
M2022	2024-01-12 2:00	7.2849	-3.2
M2022	2024-01-12 3:00	9.8011	-4
M2022	2024-01-12 4:00	9.3688	-4.8
M2022	2024-01-12 5:00	9.7718	-5.5
M2022	2024-01-12 6:00	11.4463	-6.1
M2022	2024-01-12 7:00	13.0067	-6.6
M2022	2024-01-12 8:00	12.2986	-6.9
M2022	2024-01-12 9:00	14.1411	-7
M2022	2024-01-12 10:00	11.8256	-6.9
M2022	2024-01-12 11:00	14.5709	-6.6
M2022	2024-01-12 12:00	12.5779	-6.1
M2022	2024-01-12 13:00	13.2903	-5.5
M2022	2024-01-12 14:00	13.4026	-4.8
M2022	2024-01-12 15:00	13.3574	-4
M2022	2024-01-12 16:00	8.9892	-3.2
M2022	2024-01-12 17:00	12.3565	-2.5
M2022	2024-01-12 18:00	10.9854	-1.9
M2022	2024-01-12 19:00	10.5101	-1.4
M2022	2024-01-12 20:00	10.1795	-1.1
M2022	2024-01-12 21:00	9.927	-1
M2022	2024-01-12 22:00	10.6908	-1.1
M2022	2024-01-12 23:00	9.0339	-1.4
M2022	2024-01-13 0:00	7.6904	-0.1
M2022	2024-01-13 1:00	8.5077	-0.7
M2022	2024-01-13 2:00	6.7727	-1.5
M2022	2024-01-13 3:00	6.8901	-2.2
M2022	2024-01-13 4:00	7.0624	-3
M2022	2024-01-13 5:00	8.2595	-3.7
M2022	2024-01-13 6:00	8.8856	-4.3
M2022	2024-01-13 7:00	11.4739	-4.8
M2022	2024-01-13 8:00	10.2401	-5.1
M2022	2024-01-13 9:00	10.792	-5.2
M2022	2024-01-13 10:00	8.8369	-5.1
M2022	2024-01-13 11:00	10.4018	-4.8
M2022	2024-01-13 12:00	10.575	-4.3
M2022	2024-01-13 13:00	9.817	-3.7
M2022	2024-01-13 14:00	11.2517	-3
M2022	2024-01-13 15:00	10.136	-2.2
M2022	2024-01-13 16:00	9.8949	-1.5
M2022	2024-01-13 17:00	9.6426	-0.7
M2022	2024-01-13 18:00	9.5586	-0.1
M2022	2024-01-13 19:00	7.7941	0.4
M2022	2024-01-13 20:00	7.3071	0.7
M2022	2024-01-13 21:00	7.3024	0.8
M2022	2024-01-13 22:00	7.3597	0.7
M2022	2024-01-13 23:00	5.7343	0.4
M2022	2024-01-14 0:00	6.1929	-1.9
M2022	2024-01-14 1:00	5.9926	-2.5
M2022	2024-01-14 2:00	5.5338	-3.2
M2022	2024-01-14 3:00	5.9983	-4
M2022	2024-01-14 4:00	6.0134	-4.8
M2022	2024-01-14 5:00	7.359	-5.5
M2022	2024-01-14 6:00	8.2897	-6.1
M2022	2024-01-14 7:00	8.6722	-6.6
M2022	2024-01-14 8:00	9.9822	-6.9
M2022	2024-01-14 9:00	10.3898	-7
M2022	2024-01-14 10:00	9.2805	-6.9
M2022	2024-01-14 11:00	9.2774	-6.6
M2022	2024-01-14 12:00	9.7878	-6.1
M2022	2024-01-14 13:00	9.3913	-5.5
M2022	2024-01-14 14:00	9.1227	-4.8
M2022	2024-01-14 15:00	8.8043	-4
M2022	2024-01-14 16:00	8.4338	-3.2
M2022	2024-01-14 17:00	8.9511	-2.5
M2022	2024-01-14 18:00	7.4985	-1.9
M2022	2024-01-14 19:00	5.8523	-1.4
M2022	2024-01-14 20:00	7.338	-1.1
M2022	2024-01-14 21:00	8.1452	-1
M2022	2024-01-14 22:00	6.5253	-1.1
M2022	2024-01-14 23:00	6.2383	-1.4
M2023	2024-01-01 0:00	1.1584	-1.8
M2023	2024-01-01 1:00	0.9744	-2.4
M2023	2024-01-01 2:00	1.2517	-3.1
M2023	2024-01-01 3:00	1.3477	-3.9
M2023	2024-01-01 4:00	1.2554	-4.7
M2023	2024-01-01 5:00	1.6632	-5.4
M2023	2024-01-01 6:00	2.0662	-6
M2023	2024-01-01 7:00	3.146	-6.5
M2023	2024-01-01 8:00	2.9271	-6.8
M2023	2024-01-01 9:00	2.0604	-6.9
M2023	2024-01-01 10:00	1.8586	-6.8
M2023	2024-01-01 11:00	2.0491	-6.5
M2023	2024-01-01 12:00	1.9156	-6
M2023	2024-01-01 13:00	1.6715	-5.4
M2023	2024-01-01 14:00	1.8449	-4.7
M2023	2024-01-01 15:00	1.7102	-3.9
M2023	2024-01-01 16:00	1.8726	-3.1
M2023	2024-01-01 17:00	2.7729	-2.4
M2023	2024-01-01 18:00	4.0547	-1.8
M2023	2024-01-01 19:00	4.8145	-1.3
M2023	2024-01-01 20:00	3.2078	-1
M2023	2024-01-01 21:00	3.1005	-0.9
M2023	2024-01-01 22:00	2.2224	-1
M2023	2024-01-01 23:00	1.7664	-1.3
M2023	2024-01-02 0:00	1.166	1.1
M2023	2024-01-02 1:00	1.0604	0.5
M2023	2024-01-02 2:00	1.0312	-0.2
M2023	2024-01-02 3:00	0.9545	-1
M2023	2024-01-02 4:00	0.9196	-1.8
M2023	2024-01-02 5:00	1.4337	-2.5
M2023	2024-01-02 6:00	2.4144	-3.1
M2023	2024-01-02 7:00	2.7708	-3.6
M2023	2024-01-02 8:00	2.4849	-3.9
M2023	2024-01-02 9:00	2.0572	-4
M2023	2024-01-02 10:00	1.9082	-3.9
M2023	2024-01-02 11:00	1.9432	-3.6
M2023	2024-01-02 12:00	1.7093	-3.1
M2023	2024-01-02 13:00	1.7888	-2.5
M2023	2024-01-02 14:00	1.4396	-1.8
M2023	2024-01-02 15:00	1.76	-1
M2023	2024-01-02 16:00	2.0563	-0.2
M2023	2024-01-02 17:00	2.1664	0.5
M2023	2024-01-02 18:00	3.7424	1.1
M2023	2024-01-02 19:00	3.9745	1.6
M2023	2024-01-02 20:00	3.4368	1.9
M2023	2024-01-02 21:00	2.9453	2
M2023	2024-01-02 22:00	2.1951	1.9
M2023	2024-01-02 23:00	1.3716	1.6
M2023	2024-01-03 0:00	1.2666	0.8
M2023	2024-01-03 1:00	1.1592	0.2
M2023	2024-01-03 2:00	1.0539	-0.5
M2023	2024-01-03 3:00	1.0442	-1.3
M2023	2024-01-03 4:00	1.0622	-2.1
M2023	2024-01-03 5:00	1.3001	-2.8
M2023	2024-01-03 6:00	2.4143	-3.4
M2023	2024-01-03 7:00	3.2848	-3.9
M2023	2024-01-03 8:00	2.5237	-4.2
M2023	2024-01-03 9:00	1.7271	-4.3
M2023	2024-01-03 10:00	1.8196	-4.2
M2023	2024-01-03 11:00	1.7983	-3.9
M2023	2024-01-03 12:00	1.6727	-3.4
M2023	2024-01-03 13:00	1.8644	-2.8
M2023	2024-01-03 14:00	1.6943	-2.1
M2023	2024-01-03 15:00	1.5739	-1.3
M2023	2024-01-03 16:00	1.8751	-0.5
M2023	2024-01-03 17:00	2.8007	0.2
M2023	2024-01-03 18:00	3.5181	0.8
M2023	2024-01-03 19:00	4.2052	1.3
M2023	2024-01-03 20:00	3.5825	1.6
M2023	2024-01-03 21:00	2.936	1.7
M2023	2024-01-03 22:00	2.3462	1.6
M2023	2024-01-03 23:00	1.3709	1.3
M2023	2024-01-04 0:00	1.2258	-3
M2023	2024-01-04 1:00	1.2699	-3.6
M2023	2024-01-04 2:00	1.0943	-4.3
M2023	2024-01-04 3:00	1.1084	-5.1
M2023	2024-01-04 4:00	1.3515	-5.9
M2023	2024-01-04 5:00	1.4722	-6.6
M2023	2024-01-04 6:00	2.3971	-7.2
M2023	2024-01-04 7:00	3.5624	-7.7
M2023	2024-01-04 8:00	2.3877	-8
M2023	2024-01-04 9:00	2.2361	-8.1
M2023	2024-01-04 10:00	1.9978	-8
M2023	2024-01-04 11:00	2.2359	-7.7
M2023	2024-01-04 12:00	2.2222	-7.2
M2023	2024-01-04 13:00	1.823	-6.6
M2023	2024-01-04 14:00	1.6786	-5.9
M2023	2024-01-04 15:00	1.901	-5.1
M2023	2024-01-04 16:00	2.1917	-4.3
M2023	2024-01-04 17:00	3.0418	-3.6
M2023	2024-01-04 18:00	3.8228	-3
M2023	2024-01-04 19:00	4.3133	-2.5
M2023	2024-01-04 20:00	4.0719	-2.2
M2023	2024-01-04 21:00	3.3305	-2.1
M2023	2024-01-04 22:00	2.3978	-2.2
M2023	2024-01-04 23:00	2.0599	-2.5
M2023	2024-01-05 0:00	1.0982	-2.5
M2023	2024-01-05 1:00	1.3441	-3.1
M2023	2024-01-05 2:00	1.022	-3.8
M2023	2024-01-05 3:00	1.2672	-4.6
M2023	2024-01-05 4:00	1.2409	-5.4
M2023	2024-01-05 5:00	1.6145	-6.1
M2023	2024-01-05 6:00	2.5789	-6.7
M2023	2024-01-05 7:00	2.7219	-7.2
M2023	2024-01-05 8:00	2.3302	-7.5
M2023	2024-01-05 9:00	1.8792	-7.6
M2023	2024-01-05 10:00	1.8081	-7.5
M2023	2024-01-05 11:00	2.0916	-7.2
M2023	2024-01-05 12:00	1.932	-6.7
M2023	2024-01-05 13:00	1.8353	-6.1
M2023	2024-01-05 14:00	1.8162	-5.4
M2023	2024-01-05 15:00	2.169	-4.6
M2023	2024-01-05 16:00	2.0648	-3.8
M2023	2024-01-05 17:00	2.5724	-3.1
M2023	2024-01-05 18:00	3.9875	-2.5
M2023	2024-01-05 19:00	3.7982	-2
M2023	2024-01-05 20:00	4.2335	-1.7
M2023	2024-01-05 21:00	3.6823	-1.6
M2023	2024-01-05 22:00	2.1689	-1.7
M2023	2024-01-05 23:00	1.9154	-2
M2023	2024-01-06 0:00	1.3836	-3
M2023	2024-01-06 1:00	1.3345	-3.6
M2023	2024-01-06 2:00	1.3024	-4.3
M2023	2024-01-06 3:00	1.2266	-5.1
M2023	2024-01-06 4:00	1.2543	-5.9
M2023	2024-01-06 5:00	1.3788	-6.6
M2023	2024-01-06 6:00	3.2228	-7.2
M2023	2024-01-06 7:00	3.5628	-7.7
M2023	2024-01-06 8:00	2.7828	-8
M2023	2024-01-06 9:00	2.2287	-8.1
M2023	2024-01-06 10:00	2.1293	-8
M2023	2024-01-06 11:00	2.4451	-7.7
M2023	2024-01-06 12:00	2.4813	-7.2
M2023	2024-01-06 13:00	2.0041	-6.6
M2023	2024-01-06 14:00	2.0011	-5.9
M2023	2024-01-06 15:00	1.8389	-5.1
M2023	2024-01-06 16:00	2.1633	-4.3
M2023	2024-01-06 17:00	2.6502	-3.6
M2023	2024-01-06 18:00	3.7245	-3
M2023	2024-01-06 19:00	4.813	-2.5
M2023	2024-01-06 20:00	4.946	-2.2
M2023	2024-01-06 21:00	4.0809	-2.1
M2023	2024-01-06 22:00	2.476	-2.2
M2023	2024-01-06 23:00	1.6206	-2.5
M2023	2024-01-07 0:00	1.3636	-0.6
M2023	2024-01-07 1:00	1.1736	-1.2
M2023	2024-01-07 2:00	1.1578	-1.9
M2023	2024-01-07 3:00	1.2532	-2.7
M2023	2024-01-07 4:00	1.3472	-3.5
M2023	2024-01-07 5:00	1.6263	-4.2
M2023	2024-01-07 6:00	2.4241	-4.8
M2023	2024-01-07 7:00	3.1647	-5.3
M2023	2024-01-07 8:00	2.5657	-5.6
M2023	2024-01-07 9:00	1.943	-5.7
M2023	2024-01-07 10:00	1.9026	-5.6
M2023	2024-01-07 11:00	2.375	-5.3
M2023	2024-01-07 12:00	2.0427	-4.8
M2023	2024-01-07 13:00	1.8674	-4.2
M2023	2024-01-07 14:00	1.743	-3.5
M2023	2024-01-07 15:00	1.7814	-2.7
M2023	2024-01-07 16:00	2.0379	-1.9
M2023	2024-01-07 17:00	3.1483	-1.2
M2023	2024-01-07 18:00	3.9311	-0.6
M2023	2024-01-07 19:00	4.3118	-0.1
M2023	2024-01-07 20:00	4.4302	0.2
M2023	2024-01-07 21:00	3.432	0.3
M2023	2024-01-07 22:00	2.5575	0.2
M2023	2024-01-07 23:00	1.9108	-0.1
M2023	2024-01-08 0:00	1.2172	-1.9
M2023	2024-01-08 1:00	1.2535	-2.5
M2023	2024-01-08 2:00	1.0984	-3.3
M2023	2024-01-08 3:00	1.0956	-4
M2023	2024-01-08 4:00	1.2304	-4.8
M2023	2024-01-08 5:00	1.6436	-5.5
M2023	2024-01-08 6:00	2.4476	-6.2
M2023	2024-01-08 7:00	3.5792	-6.6
M2023	2024-01-08 8:00	2.159	-6.9
M2023	2024-01-08 9:00	2.2153	-7
M2023	2024-01-08 10:00	1.7938	-6.9
M2023	2024-01-08 11:00	2.0438	-6.6
M2023	2024-01-08 12:00	2.0246	-6.2
M2023	2024-01-08 13:00	2.1633	-5.5
M2023	2024-01-08 14:00	1.8524	-4.8
M2023	2024-01-08 15:00	1.7097	-4
M2023	2024-01-08 16:00	2.0796	-3.3
M2023	2024-01-08 17:00	2.7265	-2.5
M2023	2024-01-08 18:00	3.8435	-1.9
M2023	2024-01-08 19:00	4.2793	-1.4
M2023	2024-01-08 20:00	3.8685	-1.1
M2023	2024-01-08 21:00	3.0182	-1
M2023	2024-01-08 22:00	2.4067	-1.1
M2023	2024-01-08 23:00	1.6454	-1.4
M2023	2024-01-09 0:00	1.1135	-0.1
M2023	2024-01-09 1:00	1.1913	-0.7
M2023	2024-01-09 2:00	0.9964	-1.5
M2023	2024-01-09 3:00	1.0191	-2.2
M2023	2024-01-09 4:00	1.1338	-3
M2023	2024-01-09 5:00	1.6521	-3.7
M2023	2024-01-09 6:00	2.3346	-4.4
M2023	2024-01-09 7:00	2.9278	-4.8
M2023	2024-01-09 8:00	2.6562	-5.1
M2023	2024-01-09 9:00	2.3108	-5.2
M2023	2024-01-09 10:00	1.8646	-5.1
M2023	2024-01-09 11:00	1.7628	-4.8
M2023	2024-01-09 12:00	1.8649	-4.4
M2023	2024-01-09 13:00	1.9265	-3.7
M2023	2024-01-09 14:00	1.6005	-3
M2023	2024-01-09 15:00	1.5583	-2.2
M2023	2024-01-09 16:00	1.7677	-1.5
M2023	2024-01-09 17:00	2.4147	-0.7
M2023	2024-01-09 18:00	3.9701	-0.1
M2023	2024-01-09 19:00	4.2775	0.4
M2023	2024-01-09 20:00	3.8089	0.7
M2023	2024-01-09 21:00	3.123	0.8
M2023	2024-01-09 22:00	2.0983	0.7
M2023	2024-01-09 23:00	1.932	0.4
M2023	2024-01-10 0:00	1.4963	-5.8
M2023	2024-01-10 1:00	1.3179	-6.4
M2023	2024-01-10 2:00	1.3367	-7.1
M2023	2024-01-10 3:00	1.0789	-7.9
M2023	2024-01-10 4:00	1.3101	-8.7
M2023	2024-01-10 5:00	1.5718	-9.4
M2023	2024-01-10 6:00	2.6659	-10
M2023	2024-01-10 7:00	3.5533	-10.5
M2023	2024-01-10 8:00	2.5344	-10.8
M2023	2024-01-10 9:00	1.946	-10.9
M2023	2024-01-10 10:00	1.9605	-10.8
M2023	2024-01-10 11:00	2.3557	-10.5
M2023	2024-01-10 12:00	2.4948	-10
M2023	2024-01-10 13:00	2.1623	-9.4
M2023	2024-01-10 14:00	2.0418	-8.7
M2023	2024-01-10 15:00	1.6913	-7.9
M2023	2024-01-10 16:00	2.239	-7.1
M2023	2024-01-10 17:00	2.9966	-6.4
M2023	2024-01-10 18:00	4.2279	-5.8
M2023	2024-01-10 19:00	4.8003	-5.3
M2023	2024-01-10 20:00	4.5336	-5
M2023	2024-01-10 21:00	3.6526	-4.9
M2023	2024-01-10 22:00	2.9108	-5
M2023	2024-01-10 23:00	2.0012	-5.3
M2023	2024-01-11 0:00	1.1933	1.8
M2023	2024-01-11 1:00	1.0281	1.1
M2023	2024-01-11 2:00	1.0641	0.4
M2023	2024-01-11 3:00	1.034	-0.4
M2023	2024-01-11 4:00	1.0706	-1.1
M2023	2024-01-11 5:00	1.5363	-1.9
M2023	2024-01-11 6:00	2.0891	-2.5
M2023	2024-01-11 7:00	2.864	-3
M2023	2024-01-11 8:00	2.0171	-3.3
M2023	2024-01-11 9:00	1.9816	-3.4
M2023	2024-01-11 10:00	1.9197	-3.3
M2023	2024-01-11 11:00	1.9233	-3
M2023	2024-01-11 12:00	1.7904	-2.5
M2023	2024-01-11 13:00	1.5901	-1.9
M2023	2024-01-11 14:00	1.6895	-1.1
M2023	2024-01-11 15:00	1.8295	-0.4
M2023	2024-01-11 16:00	1.6182	0.4
M2023	2024-01-11 17:00	2.7334	1.1
M2023	2024-01-11 18:00	3.5845	1.8
M2023	2024-01-11 19:00	4.0153	2.2
M2023	2024-01-11 20:00	3.0706	2.5
M2023	2024-01-11 21:00	2.926	2.6
M2023	2024-01-11 22:00	2.0645	2.5
M2023	2024-01-11 23:00	1.5116	2.2
M2023	2024-01-12 0:00	1.1503	-1.9
M2023	2024-01-12 1:00	1.379	-2.5
M2023	2024-01-12 2:00	1.1207	-3.2
M2023	2024-01-12 3:00	1.1592	-4
M2023	2024-01-12 4:00	1.2169	-4.8
M2023	2024-01-12 5:00	1.6475	-5.5
M2023	2024-01-12 6:00	2.4841	-6.1
M2023	2024-01-12 7:00	3.1651	-6.6
M2023	2024-01-12 8:00	2.727	-6.9
M2023	2024-01-12 9:00	2.071	-7
M2023	2024-01-12 10:00	1.965	-6.9
M2023	2024-01-12 11:00	2.0279	-6.6
M2023	2024-01-12 12:00	2.103	-6.1
M2023	2024-01-12 13:00	1.6764	-5.5
M2023	2024-01-12 14:00	1.484	-4.8
M2023	2024-01-12 15:00	1.8311	-4
M2023	2024-01-12 16:00	2.0804	-3.2
M2023	2024-01-12 17:00	2.6999	-2.5
M2023	2024-01-12 18:00	4.063	-1.9
M2023	2024-01-12 19:00	3.8813	-1.4
M2023	2024-01-12 20:00	3.7274	-1.1
M2023	2024-01-12 21:00	3.2256	-1
M2023	2024-01-12 22:00	2.317	-1.1
M2023	2024-01-12 23:00	1.8489	-1.4
M2023	2024-01-13 0:00	1.2661	-0.1
M2023	2024-01-13 1:00	1.1795	-0.7
M2023	2024-01-13 2:00	1.0989	-1.5
M2023	2024-01-13 3:00	1.1361	-2.2
M2023	2024-01-13 4:00	1.4161	-3
M2023	2024-01-13 5:00	1.7685	-3.7
M2023	2024-01-13 6:00	2.3208	-4.3
M2023	2024-01-13 7:00	2.8279	-4.8
M2023	2024-01-13 8:00	2.7343	-5.1
M2023	2024-01-13 9:00	2.3616	-5.2
M2023	2024-01-13 10:00	1.8623	-5.1
M2023	2024-01-13 11:00	1.8501	-4.8
M2023	2024-01-13 12:00	2.1936	-4.3
M2023	2024-01-13 13:00	1.8785	-3.7
M2023	2024-01-13 14:00	1.7288	-3
M2023	2024-01-13 15:00	1.7408	-2.2
M2023	2024-01-13 16:00	2.2431	-1.5
M2023	2024-01-13 17:00	2.8966	-0.7
M2023	2024-01-13 18:00	3.4511	-0.1
M2023	2024-01-13 19:00	4.1166	0.4
M2023	2024-01-13 20:00	4.1471	0.7
M2023	2024-01-13 21:00	3.5142	0.8
M2023	2024-01-13 22:00	2.3212	0.7
M2023	2024-01-13 23:00	1.6555	0.4
M2023	2024-01-14 0:00	1.466	-1.9
M2023	2024-01-14 1:00	1.4966	-2.5
M2023	2024-01-14 2:00	1.2302	-3.2
M2023	2024-01-14 3:00	1.3506	-4
M2023	2024-01-14 4:00	1.2813	-4.8
M2023	2024-01-14 5:00	1.6062	-5.5
M2023	2024-01-14 6:00	2.4082	-6.1
M2023	2024-01-14 7:00	3.1883	-6.6
M2023	2024-01-14 8:00	2.9415	-6.9
M2023	2024-01-14 9:00	2.5068	-7
M2023	2024-01-14 10:00	2.0531	-6.9
M2023	2024-01-14 11:00	2.1753	-6.6
M2023	2024-01-14 12:00	2.0634	-6.1
M2023	2024-01-14 13:00	2.0397	-5.5
M2023	2024-01-14 14:00	2.0468	-4.8
M2023	2024-01-14 15:00	1.9125	-4
M2023	2024-01-14 16:00	2.4677	-3.2
M2023	2024-01-14 17:00	2.9693	-2.5
M2023	2024-01-14 18:00	4.3462	-1.9
M2023	2024-01-14 19:00	4.4866	-1.4
M2023	2024-01-14 20:00	4.2289	-1.1
M2023	2024-01-14 21:00	3.5993	-1
M2023	2024-01-14 22:00	2.7443	-1.1
M2023	2024-01-14 23:00	1.7791	-1.4
M2024	2024-01-01 0:00	1.3158	-1.8
M2024	2024-01-01 1:00	1.1938	-2.4
M2024	2024-01-01 2:00	1.0597	-3.1
M2024	2024-01-01 3:00	1.0322	-3.9
M2024	2024-01-01 4:00	1.2156	-4.7
M2024	2024-01-01 5:00	1.7858	-5.4
M2024	2024-01-01 6:00	2.087	-6
M2024	2024-01-01 7:00	2.5801	-6.5
M2024	2024-01-01 8:00	2.3454	-6.8
M2024	2024-01-01 9:00	1.9056	-6.9
M2024	2024-01-01 10:00	1.5584	-6.8
M2024	2024-01-01 11:00	1.6714	-6.5
M2024	2024-01-01 12:00	1.7661	-6
M2024	2024-01-01 13:00	1.5614	-5.4
M2024	2024-01-01 14:00	1.7376	-4.7
M2024	2024-01-01 15:00	1.4656	-3.9
M2024	2024-01-01 16:00	2.0348	-3.1
M2024	2024-01-01 17:00	2.3344	-2.4
M2024	2024-01-01 18:00	3.6414	-1.8
M2024	2024-01-01 19:00	3.62	-1.3
M2024	2024-01-01 20:00	3.1892	-1
M2024	2024-01-01 21:00	3.1548	-0.9
M2024	2024-01-01 22:00	2.0788	-1
M2024	2024-01-01 23:00	1.3274	-1.3
M2024	2024-01-02 0:00	1.0713	1.1
M2024	2024-01-02 1:00	0.892	0.5
M2024	2024-01-02 2:00	0.8923	-0.2
M2024	2024-01-02 3:00	0.9322	-1
M2024	2024-01-02 4:00	0.9999	-1.8
M2024	2024-01-02 5:00	1.2804	-2.5
M2024	2024-01-02 6:00	2.066	-3.1
M2024	2024-01-02 7:00	2.5159	-3.6
M2024	2024-01-02 8:00	2.1554	-3.9
M2024	2024-01-02 9:00	1.5596	-4
M2024	2024-01-02 10:00	1.5132	-3.9
M2024	2024-01-02 11:00	1.516	-3.6
M2024	2024-01-02 12:00	1.6288	-3.1
M2024	2024-01-02 13:00	1.6116	-2.5
M2024	2024-01-02 14:00	1.4598	-1.8
M2024	2024-01-02 15:00	1.4966	-1
M2024	2024-01-02 16:00	1.6289	-0.2
M2024	2024-01-02 17:00	2.5248	0.5
M2024	2024-01-02 18:00	3.1014	1.1
M2024	2024-01-02 19:00	3.5595	1.6
M2024	2024-01-02 20:00	3.574	1.9
M2024	2024-01-02 21:00	2.7098	2
M2024	2024-01-02 22:00	1.8726	1.9
M2024	2024-01-02 23:00	1.4678	1.6
M2024	2024-01-03 0:00	1.2479	0.8
M2024	2024-01-03 1:00	0.8992	0.2
M2024	2024-01-03 2:00	0.998	-0.5
M2024	2024-01-03 3:00	0.9521	-1.3
M2024	2024-01-03 4:00	0.9925	-2.1
M2024	2024-01-03 5:00	1.2798	-2.8
M2024	2024-01-03 6:00	1.7968	-3.4
M2024	2024-01-03 7:00	2.5244	-3.9
M2024	2024-01-03 8:00	2.1231	-4.2
M2024	2024-01-03 9:00	1.802	-4.3
M2024	2024-01-03 10:00	1.7989	-4.2
M2024	2024-01-03 11:00	1.9317	-3.9
M2024	2024-01-03 12:00	1.6409	-3.4
M2024	2024-01-03 13:00	1.6296	-2.8
M2024	2024-01-03 14:00	1.5183	-2.1
M2024	2024-01-03 15:00	1.5708	-1.3
M2024	2024-01-03 16:00	1.6352	-0.5
M2024	2024-01-03 17:00	2.2479	0.2
M2024	2024-01-03 18:00	3.1427	0.8
M2024	2024-01-03 19:00	3.4746	1.3
M2024	2024-01-03 20:00	3.2414	1.6
M2024	2024-01-03 21:00	2.3809	1.7
M2024	2024-01-03 22:00	1.8625	1.6
M2024	2024-01-03 23:00	1.357	1.3
M2024	2024-01-04 0:00	1.281	-3
M2024	2024-01-04 1:00	0.8987	-3.6
M2024	2024-01-04 2:00	1.0906	-4.3
M2024	2024-01-04 3:00	1.0983	-5.1
M2024	2024-01-04 4:00	1.0055	-5.9
M2024	2024-01-04 5:00	1.4652	-6.6
M2024	2024-01-04 6:00	2.3905	-7.2
M2024	2024-01-04 7:00	2.7187	-7.7
M2024	2024-01-04 8:00	2.1611	-8
M2024	2024-01-04 9:00	1.9702	-8.1
M2024	2024-01-04 10:00	1.7035	-8
M2024	2024-01-04 11:00	1.9104	-7.7
M2024	2024-01-04 12:00	1.9458	-7.2
M2024	2024-01-04 13:00	1.8055	-6.6
M2024	2024-01-04 14:00	1.745	-5.9
M2024	2024-01-04 15:00	1.5775	-5.1
M2024	2024-01-04 16:00	1.9191	-4.3
M2024	2024-01-04 17:00	2.3376	-3.6
M2024	2024-01-04 18:00	3.7078	-3
M2024	2024-01-04 19:00	3.8924	-2.5
M2024	2024-01-04 20:00	3.4161	-2.2
M2024	2024-01-04 21:00	3.1008	-2.1
M2024	2024-01-04 22:00	2.3073	-2.2
